,gu,total worker,company,m-worker,w-worker,10-19,20-29,30-39,40-49,50-59,60-69,10~20M,10~20W,20~29M,20~29W,30~39M,30~39W,40~49M,40~49W,50~59M,50~59W,60~69M,60~69W,area,Totalpop,density
0,종로구,260446,39679,146392,114054,10960,27350,20884,22241,25893,20672,13398,16749,43081,63599,49307,50362,58897,46996,61607,50912,49620,39426,23.91,128000,5353
1,중구,392568,60127,213484,179084,7050,21310,21792,18802,21480,18445,9150,11658,44805,62771,64904,63158,71794,53500,66961,53909,47329,42096,9.96,108879,10931
2,용산구,135240,20254,74570,60670,15945,35278,41482,37025,38249,29749,12879,12299,3988,51085,50677,49851,51137,39043,44091,37556,31703,28046,21.87,197728,9041
3,성동구,178243,28343,102769,75474,19350,46682,48399,44403,47288,37917,15598,17374,44158,54079,45832,46133,51172,39914,49735,43823,39375,33672,16.86,244039,14474
4,광진구,126305,24445,67899,58406,25524,66832,56904,52092,55974,44623,20875,22288,49064,59877,40838,42419,45819,40701,50474,50732,41374,39824,17.06,301949,17699
5,동대문구,138400,31324,73067,65333,23447,65152,50964,50062,53325,47683,16533,17210,39072,47991,34187,31933,43863,34104,49805,44001,46891,40188,14.22,290633,20438
6,중랑구,103345,28228,53185,50160,25888,55940,58127,56659,68661,60625,15372,15769,25782,28330,29670,30494,38310,33417,48250,51197,44736,42474,18.5,325900,17616
7,성북구,111005,23617,54975,56030,36875,71087,60461,68783,69821,56906,27549,28296,40530,50045,33966,37366,45860,44667,50636,53043,42350,42586,24.58,363933,14806
8,강북구,73904,19014,34134,39770,21147,42624,38185,44965,52147,47373,14654,14562,22590,25604,21189,22050,31223,29132,37481,42405,35236,37291,23.6,246441,10442
9,도봉구,72939,18628,37598,35341,24635,42654,39931,46911,56333,51179,13691,12807,17273,18891,19030,19669,28167,25370,35683,39808,36798,35661,20.65,261643,12670
10,노원구,116684,26618,54993,61691,51123,72675,64090,82946,87438,70475,39595,37099,40084,42317,35493,39708,52980,56306,62994,71694,55885,58098,35.44,428747,12097
11,은평구,93631,24681,43830,49801,37637,66711,67974,74964,77760,66850,24827,24684,28580,33485,33808,38824,46617,45690,51943,58912,48291,50103,29.71,391896,13190
12,서대문구,113819,20095,55966,57853,23354,54509,45984,46687,49406,40092,19216,21921,41525,57971,36352,39947,43363,39460,43971,44874,34378,34175,17.63,260032,14749
13,마포구,247276,37290,132558,114718,28268,65877,65916,61312,55772,41327,26545,32744,71603,107404,68991,74187,72093,59602,60502,55297,43237,41302,23.85,318472,13353
14,양천구,121582,25894,63099,58483,49723,58582,56836,77664,76938,60302,32760,30609,24756,27335,29501,33092,46137,46064,48022,50751,39927,40583,17.41,380045,21829
15,강서구,257494,39458,142209,115285,43814,87251,99453,90621,85586,79516,27507,26448,47811,58576,68227,65785,7872,60312,73156,68409,63272,58845,41.44,486241,11733
16,구로구,225668,38756,128722,96946,30110,55896,65772,65942,70754,60052,15843,15590,32949,36679,48056,44062,57454,43248,58878,52974,49257,43074,20.12,348526,17322
17,금천구,242686,33814,150589,92097,14566,38127,38697,34488,44330,35900,7593,7956,24043,25030,34379,25534,37842,23483,38634,30838,28740,22713,13.02,206108,15830
18,영등포구,373478,42370,217650,155828,24600,60777,73632,59888,64704,50805,20432,19859,57356,71457,86280,78490,90679,63016,85788,68969,61287,52634,24.55,334406,13621
19,동작구,106159,19793,52297,53862,27511,68774,62621,58581,59731,51122,18478,17737,41119,44428,36799,36583,40313,37030,43329,46106,38837,40953,16.35,328340,20081
20,관악구,115329,25505,59684,55645,28013,112036,88430,68036,70377,61142,18547,19217,66824,69513,53613,44508,46985,37730,51464,49227,44541,42751,29.57,428034,14475
21,서초구,438985,46940,261147,177838,44977,53696,61568,76595,63288,48413,36107,36583,57356,78118,83458,85873,108943,87996,98029,83009,71838,66850,46.98,348537,7418
22,강남구,698840,71027,387884,310956,59329,72825,79755,98729,81736,61276,62916,61653,104442,154024,148303,148443,171140,130944,136695,110019,94268,87128,39.5,453650,11484
23,송파구,341201,48644,202213,138988,57822,92348,108832,108368,102657,87422,49596,50772,69933,87624,93987,100491,112573,99739,109885,108099,92178,93104,33.87,557449,16458
24,강동구,141770,29080,74700,67070,39094,61806,72705,75625,72766,66528,37566,31624,36251,40657,47417,52320,62027,60873,69137,73214,65134,68453,24.59,388524,15800
