gu,total worker,company,m-worker,w-worker
종로구,260446,39679,146392,114054
중구,392568,60127,213484,179084
용산구,135240,20254,74570,60670
성동구,178243,28343,102769,75474
광진구,126305,24445,67899,58406
동대문구,138400,31324,73067,65333
중랑구,103345,28228,53185,50160
성북구,111005,23617,54975,56030
강북구,73904,19014,34134,39770
도봉구,72939,18628,37598,35341
노원구,116684,26618,54993,61691
은평구,93631,24681,43830,49801
서대문구,113819,20095,55966,57853
마포구,247276,37290,132558,114718
양천구,121582,25894,63099,58483
강서구,257494,39458,142209,115285
구로구,225668,38756,128722,96946
금천구,242686,33814,150589,92097
영등포구,373478,42370,217650,155828
동작구,106159,19793,52297,53862
관악구,115329,25505,59684,55645
서초구,438985,46940,261147,177838
강남구,698840,71027,387884,310956
송파구,341201,48644,202213,138988
강동구,141770,29080,74700,67070
